SKILLS,SEMESTER I,SEMESTER II,SEMESTER III,SEMESTER IV,SEMESTER V,SEMESTER VI
Unix,1,,,,,
Linux,1,,,,,
MacOS,1,,,,,
Windows,1,,,,,
Security,1,1,,,,
Office products,1,,,,,
Databases,0,1,1,,,
IDEs,1,,,,,
Communication,1,,,,,
Environment setup,1,,,,,
Ansible,0,1,,,,
Presentation,1,,,,,
Java,1,1,,,,
PHP,,,,,,
JavaScript,,,,,,
Go,1,1,,,,
C#,1,1,,,,
Python,1,1,,,,
C,,,,,,
C++,,,,,,
Frameworks,0,0,1,,,
